"2015-11-25T13:46:05; ""Z:\unprocessed\9811_0003\data\Legacy\JJDLE1\jjd12.doc""; Z:\unprocessed\9811_0003\data\Legacy\JJDLE1\jjd12_bhl-fae1774e.docx; Microsoft Office File Converter; "
"2015-11-25T13:46:07; ""Z:\unprocessed\9811_0003\data\Legacy\JJDLE1\jjd2.doc""; Z:\unprocessed\9811_0003\data\Legacy\JJDLE1\jjd2_bhl-a5090874.docx; Microsoft Office File Converter; "
"2015-11-25T13:46:08; ""Z:\unprocessed\9811_0003\data\Legacy\JJDLE1\jjd7.doc""; Z:\unprocessed\9811_0003\data\Legacy\JJDLE1\jjd7_bhl-69f1d758.docx; Microsoft Office File Converter; "
"2015-11-25T13:46:10; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd589.xls""; Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd589_bhl-e44818bd.xlsx; Microsoft Office File Converter; "
"2015-11-25T13:46:11; ""Z:\unprocessed\9811_0003\data\Speeches\JJDS5c\S5restricted\jjd1219.doc""; Z:\unprocessed\9811_0003\data\Speeches\JJDS5c\S5restricted\jjd1219_bhl-4dc8988d.docx; Microsoft Office File Converter; "
"2015-11-25T13:46:13; ""Z:\unprocessed\9811_0003\data\Speeches\JJDS7\S7restricted\jjd1361.doc""; Z:\unprocessed\9811_0003\data\Speeches\JJDS7\S7restricted\jjd1361_bhl-03f8ee0a.docx; Microsoft Office File Converter; "
"2015-11-25T13:46:14; ""Z:\unprocessed\9811_0003\data\Speeches\JJDS9a\jjd1426.doc""; Z:\unprocessed\9811_0003\data\Speeches\JJDS9a\jjd1426_bhl-4deee62b.docx; Microsoft Office File Converter; "
"2015-11-25T13:46:15; ""Z:\unprocessed\9811_0003\data\Speeches\JJDS9a\jjd1430.doc""; Z:\unprocessed\9811_0003\data\Speeches\JJDS9a\jjd1430_bhl-ea5cd80e.docx; Microsoft Office File Converter; "
"2015-11-25T13:46:16; ""Z:\unprocessed\9811_0003\data\Speeches\JJDS9a\jjd1433.doc""; Z:\unprocessed\9811_0003\data\Speeches\JJDS9a\jjd1433_bhl-df999146.docx; Microsoft Office File Converter; "
"2015-11-25T13:46:18; ""Z:\unprocessed\9811_0003\data\Speeches\JJDS9a\jjd1437.doc""; Z:\unprocessed\9811_0003\data\Speeches\JJDS9a\jjd1437_bhl-7a1c5c38.docx; Microsoft Office File Converter; "
"2015-11-25T13:46:19; ""Z:\unprocessed\9811_0003\data\Speeches\JJDS9a\jjd1441.doc""; Z:\unprocessed\9811_0003\data\Speeches\JJDS9a\jjd1441_bhl-7a4d6f83.docx; Microsoft Office File Converter; "
"2015-11-25T13:46:20; ""Z:\unprocessed\9811_0003\data\Speeches\JJDS9a\jjd1450.doc""; Z:\unprocessed\9811_0003\data\Speeches\JJDS9a\jjd1450_bhl-cf0c8b98.docx; Microsoft Office File Converter; "
"2015-11-25T13:46:22; ""Z:\unprocessed\9811_0003\data\Speeches\JJDS9a\jjd1451.doc""; Z:\unprocessed\9811_0003\data\Speeches\JJDS9a\jjd1451_bhl-57af4800.docx; Microsoft Office File Converter; "
"2015-11-25T13:46:23; ""Z:\unprocessed\9811_0003\data\Speeches\JJDS9a\jjd1463.doc""; Z:\unprocessed\9811_0003\data\Speeches\JJDS9a\jjd1463_bhl-bf36ae7f.docx; Microsoft Office File Converter; "
"2015-11-25T13:46:24; ""Z:\unprocessed\9811_0003\data\Speeches\JJDS9a\jjd1465.doc""; Z:\unprocessed\9811_0003\data\Speeches\JJDS9a\jjd1465_bhl-f008a3c7.docx; Microsoft Office File Converter; "
"2015-11-25T13:46:26; ""Z:\unprocessed\9811_0003\data\Speeches\JJDS9a\jjd1467.doc""; Z:\unprocessed\9811_0003\data\Speeches\JJDS9a\jjd1467_bhl-91fd520c.docx; Microsoft Office File Converter; "
"2015-11-25T13:46:27; ""Z:\unprocessed\9811_0003\data\Speeches\JJDS9a\jjd1469.doc""; Z:\unprocessed\9811_0003\data\Speeches\JJDS9a\jjd1469_bhl-4ff5d232.docx; Microsoft Office File Converter; "
"2015-11-25T13:46:28; ""Z:\unprocessed\9811_0003\data\Speeches\JJDS9a\jjd1532.doc""; Z:\unprocessed\9811_0003\data\Speeches\JJDS9a\jjd1532_bhl-9e688efc.docx; Microsoft Office File Converter; "
"2015-11-25T13:46:29; ""Z:\unprocessed\9811_0003\data\Speeches\JJDS9a\jjd1533.doc""; Z:\unprocessed\9811_0003\data\Speeches\JJDS9a\jjd1533_bhl-5d6d0ff7.docx; Microsoft Office File Converter; "
"2015-11-25T13:46:31; ""Z:\unprocessed\9811_0003\data\Speeches\JJDS9a\jjd1542.doc""; Z:\unprocessed\9811_0003\data\Speeches\JJDS9a\jjd1542_bhl-11fd85a8.docx; Microsoft Office File Converter; "
"2015-11-25T13:46:32; ""Z:\unprocessed\9811_0003\data\Speeches\JJDS9a\jjd1548.doc""; Z:\unprocessed\9811_0003\data\Speeches\JJDS9a\jjd1548_bhl-51b66ae6.docx; Microsoft Office File Converter; "
"2015-11-25T13:46:34; ""Z:\unprocessed\9811_0003\data\Speeches\JJDS9a\jjd1560.doc""; Z:\unprocessed\9811_0003\data\Speeches\JJDS9a\jjd1560_bhl-92db3355.docx; Microsoft Office File Converter; "
"2015-11-25T13:46:35; ""Z:\unprocessed\9811_0003\data\Speeches\JJDS9a\jjd1561.doc""; Z:\unprocessed\9811_0003\data\Speeches\JJDS9a\jjd1561_bhl-46a6afbc.docx; Microsoft Office File Converter; "
"2015-11-25T13:46:36; ""Z:\unprocessed\9811_0003\data\Speeches\JJDS9a\jjd1562.doc""; Z:\unprocessed\9811_0003\data\Speeches\JJDS9a\jjd1562_bhl-6cee6961.docx; Microsoft Office File Converter; "
"2015-11-25T13:46:37; ""Z:\unprocessed\9811_0003\data\Speeches\JJDS9b\jjd1429.doc""; Z:\unprocessed\9811_0003\data\Speeches\JJDS9b\jjd1429_bhl-375d735d.docx; Microsoft Office File Converter; "
"2015-11-25T13:46:38; ""Z:\unprocessed\9811_0003\data\Speeches\JJDS9b\jjd1431.doc""; Z:\unprocessed\9811_0003\data\Speeches\JJDS9b\jjd1431_bhl-6c77827a.docx; Microsoft Office File Converter; "
"2015-11-25T13:46:40; ""Z:\unprocessed\9811_0003\data\Speeches\JJDS9b\jjd1435.doc""; Z:\unprocessed\9811_0003\data\Speeches\JJDS9b\jjd1435_bhl-017de9ce.docx; Microsoft Office File Converter; "
"2015-11-25T13:46:41; ""Z:\unprocessed\9811_0003\data\Speeches\JJDS9b\jjd1436.doc""; Z:\unprocessed\9811_0003\data\Speeches\JJDS9b\jjd1436_bhl-7c49d574.docx; Microsoft Office File Converter; "
"2015-11-25T13:46:42; ""Z:\unprocessed\9811_0003\data\Speeches\JJDS9b\jjd1452.doc""; Z:\unprocessed\9811_0003\data\Speeches\JJDS9b\jjd1452_bhl-acf4a721.docx; Microsoft Office File Converter; "
"2015-11-25T13:46:43; ""Z:\unprocessed\9811_0003\data\Speeches\JJDS9b\jjd1455.doc""; Z:\unprocessed\9811_0003\data\Speeches\JJDS9b\jjd1455_bhl-6db4e63a.docx; Microsoft Office File Converter; "
"2015-11-25T13:46:45; ""Z:\unprocessed\9811_0003\data\Speeches\JJDS9b\jjd1456.doc""; Z:\unprocessed\9811_0003\data\Speeches\JJDS9b\jjd1456_bhl-e703a0c5.docx; Microsoft Office File Converter; "
"2015-11-25T13:46:46; ""Z:\unprocessed\9811_0003\data\Speeches\JJDS9b\jjd1458.doc""; Z:\unprocessed\9811_0003\data\Speeches\JJDS9b\jjd1458_bhl-34743234.docx; Microsoft Office File Converter; "
"2015-11-25T13:46:47; ""Z:\unprocessed\9811_0003\data\Speeches\JJDS9b\jjd1459.doc""; Z:\unprocessed\9811_0003\data\Speeches\JJDS9b\jjd1459_bhl-edd9061b.docx; Microsoft Office File Converter; "
"2015-11-25T13:46:48; ""Z:\unprocessed\9811_0003\data\Speeches\JJDS9b\jjd1463.doc""; Z:\unprocessed\9811_0003\data\Speeches\JJDS9b\jjd1463_bhl-957f880e.docx; Microsoft Office File Converter; "
"2015-11-25T13:46:49; ""Z:\unprocessed\9811_0003\data\Speeches\JJDS9b\jjd1472.doc""; Z:\unprocessed\9811_0003\data\Speeches\JJDS9b\jjd1472_bhl-40f03a01.docx; Microsoft Office File Converter; "
"2015-11-25T13:46:52; ""Z:\unprocessed\9811_0003\data\Speeches\JJDS9b\jjd1508.xls""; Z:\unprocessed\9811_0003\data\Speeches\JJDS9b\jjd1508_bhl-6c465203.xlsx; Microsoft Office File Converter; "
"2015-11-25T13:46:54; ""Z:\unprocessed\9811_0003\data\Speeches\JJDS9b\jjd1509.xls""; Z:\unprocessed\9811_0003\data\Speeches\JJDS9b\jjd1509_bhl-8fe35ac3.xlsx; Microsoft Office File Converter; "
"2015-11-25T13:46:55; ""Z:\unprocessed\9811_0003\data\Speeches\JJDS9b\jjd1515.xls""; Z:\unprocessed\9811_0003\data\Speeches\JJDS9b\jjd1515_bhl-1692afea.xlsx; Microsoft Office File Converter; "
"2015-11-25T13:46:56; ""Z:\unprocessed\9811_0003\data\Speeches\JJDS9b\jjd1539.doc""; Z:\unprocessed\9811_0003\data\Speeches\JJDS9b\jjd1539_bhl-64d26c6e.docx; Microsoft Office File Converter; "
"2015-11-25T13:46:57; ""Z:\unprocessed\9811_0003\data\Speeches\JJDS9b\jjd1543.doc""; Z:\unprocessed\9811_0003\data\Speeches\JJDS9b\jjd1543_bhl-d4e5b053.docx; Microsoft Office File Converter; "
"2015-11-25T13:46:58; ""Z:\unprocessed\9811_0003\data\Speeches\JJDS9b\jjd1544.doc""; Z:\unprocessed\9811_0003\data\Speeches\JJDS9b\jjd1544_bhl-163afbcc.docx; Microsoft Office File Converter; "
"2015-11-25T13:46:59; ""Z:\unprocessed\9811_0003\data\Speeches\JJDS9b\jjd1548.doc""; Z:\unprocessed\9811_0003\data\Speeches\JJDS9b\jjd1548_bhl-e8301905.docx; Microsoft Office File Converter; "
"2015-11-25T13:47:07; ""Z:\unprocessed\9811_0003\data\Legacy\JJDLE1\jjd12.pdf""; ""Z:\unprocessed\9811_0003\data\Legacy\JJDLE1\jjd12_bhl-51fc5789.pdf""; Ghostscript 9.15; "
"2015-11-25T13:47:12; ""Z:\unprocessed\9811_0003\data\Legacy\JJDLE1\jjd2.pdf""; ""Z:\unprocessed\9811_0003\data\Legacy\JJDLE1\jjd2_bhl-70ded425.pdf""; Ghostscript 9.15; "
"2015-11-25T13:47:16; ""Z:\unprocessed\9811_0003\data\Legacy\JJDLE1\jjd7.pdf""; ""Z:\unprocessed\9811_0003\data\Legacy\JJDLE1\jjd7_bhl-87aa971e.pdf""; Ghostscript 9.15; "
"2015-11-25T13:47:20; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd2280.pdf""; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd2280_bhl-5eaf4b21.pdf""; Ghostscript 9.15; "
"2015-11-25T13:47:25; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd2281.pdf""; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd2281_bhl-6a939ae6.pdf""; Ghostscript 9.15; "
"2015-11-25T13:47:30; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd535.pdf""; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd535_bhl-a65c34b3.pdf""; Ghostscript 9.15; "
"2015-11-25T13:47:40; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd536.pdf""; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd536_bhl-2b1bedd4.pdf""; Ghostscript 9.15; "
"2015-11-25T13:47:47; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd537.pdf""; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd537_bhl-e5110760.pdf""; Ghostscript 9.15; "
"2015-11-25T13:48:03; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd538.pdf""; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd538_bhl-0f785621.pdf""; Ghostscript 9.15; "
"2015-11-25T13:48:14; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd539.pdf""; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd539_bhl-c888b9c8.pdf""; Ghostscript 9.15; "
"2015-11-25T13:48:30; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd540.pdf""; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd540_bhl-a9fc6fdb.pdf""; Ghostscript 9.15; "
"2015-11-25T13:48:41; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd541.pdf""; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd541_bhl-a38232d9.pdf""; Ghostscript 9.15; "
"2015-11-25T13:48:51; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd542.pdf""; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd542_bhl-f9609478.pdf""; Ghostscript 9.15; "
"2015-11-25T13:49:00; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd543.pdf""; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd543_bhl-7e8f74ee.pdf""; Ghostscript 9.15; "
"2015-11-25T13:49:06; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd544.pdf""; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd544_bhl-eb36c3fd.pdf""; Ghostscript 9.15; "
"2015-11-25T13:49:13; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd545.pdf""; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd545_bhl-131f83f1.pdf""; Ghostscript 9.15; "
"2015-11-25T13:49:24; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd546.pdf""; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd546_bhl-159aa41d.pdf""; Ghostscript 9.15; "
"2015-11-25T13:49:30; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd547.pdf""; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd547_bhl-8956df96.pdf""; Ghostscript 9.15; "
"2015-11-25T13:49:35; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd548.pdf""; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd548_bhl-d0bcd91d.pdf""; Ghostscript 9.15; "
"2015-11-25T13:49:41; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd549.pdf""; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd549_bhl-0a956ca4.pdf""; Ghostscript 9.15; "
"2015-11-25T13:49:57; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd550.pdf""; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd550_bhl-e2dcf9ae.pdf""; Ghostscript 9.15; "
"2015-11-25T13:50:15; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd551.pdf""; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd551_bhl-3fbdd4c8.pdf""; Ghostscript 9.15; "
"2015-11-25T13:50:26; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd552.pdf""; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd552_bhl-d8067eee.pdf""; Ghostscript 9.15; "
"2015-11-25T13:50:42; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd553.pdf""; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd553_bhl-ac5186d4.pdf""; Ghostscript 9.15; "
"2015-11-25T13:50:49; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd554.pdf""; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd554_bhl-96060ad4.pdf""; Ghostscript 9.15; "
"2015-11-25T13:50:56; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd555.pdf""; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd555_bhl-241ea278.pdf""; Ghostscript 9.15; "
"2015-11-25T13:51:00; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd556.pdf""; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd556_bhl-dab06177.pdf""; Ghostscript 9.15; "
"2015-11-25T13:51:04; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd557.pdf""; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd557_bhl-0641d2d7.pdf""; Ghostscript 9.15; "
"2015-11-25T13:51:12; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd558.pdf""; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd558_bhl-99562c56.pdf""; Ghostscript 9.15; "
"2015-11-25T13:51:18; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd560.pdf""; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd560_bhl-5c7167c4.pdf""; Ghostscript 9.15; "
"2015-11-25T13:51:26; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd561.pdf""; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd561_bhl-8712bd21.pdf""; Ghostscript 9.15; "
"2015-11-25T13:51:30; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd562.pdf""; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd562_bhl-859360ba.pdf""; Ghostscript 9.15; "
"2015-11-25T13:51:35; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd563.pdf""; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd563_bhl-c7100690.pdf""; Ghostscript 9.15; "
"2015-11-25T13:51:40; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd564.pdf""; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd564_bhl-cd1e7299.pdf""; Ghostscript 9.15; "
"2015-11-25T13:51:47; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd565.pdf""; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd565_bhl-e1cc5996.pdf""; Ghostscript 9.15; "
"2015-11-25T13:51:55; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd566.pdf""; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd566_bhl-bd590f6f.pdf""; Ghostscript 9.15; "
"2015-11-25T13:52:05; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd567.pdf""; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd567_bhl-2759663f.pdf""; Ghostscript 9.15; "
"2015-11-25T13:52:23; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd568.pdf""; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd568_bhl-44e6076f.pdf""; Ghostscript 9.15; "
"2015-11-25T13:52:30; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd569.pdf""; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd569_bhl-b04859b7.pdf""; Ghostscript 9.15; "
"2015-11-25T13:52:36; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd570.pdf""; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd570_bhl-9ac4ebc0.pdf""; Ghostscript 9.15; "
"2015-11-25T13:52:43; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd571.pdf""; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd571_bhl-1d0844de.pdf""; Ghostscript 9.15; "
"2015-11-25T13:52:50; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd572.pdf""; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd572_bhl-639bf54c.pdf""; Ghostscript 9.15; "
"2015-11-25T13:52:55; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd574.pdf""; ""Z:\unprocessed\9811_0003\data\Presentations\JJDPR\jjd574_bhl-5936fedd.pdf""; Ghostscript 9.15; "
